Player Name,Player ID
Tyler Adams,60
Tosin Adarabioyo,187
Simon Adingra,113
Asher Agbinone,646
Ola Aina,422
Kristoffer Ajer,86
Manuel Akanji,340
Nathan Aké,341
Carlos Alcaraz,450
Trent Alexander-Arnold,311
Alexis Mac Allister,329
Samuel Amo-Ameyaw,451
Joachim Andersen,191
Elliot Anderson,423
Michail Antonio,512
Cameron Archer,27
Alphonse Areola,513
Joe Aribo,452
Harrison Armstrong,603
Adam Armstrong,453
Kepa Arrizabalaga,152
Taiwo Awoniyi,424
Yasin Ayari,600
Jordan Ayew,192
Rayan Aït-Nouri,533
Benoît Badiashile,153
Leon Bailey,28
Carlos Baleba,115
Ross Barkley,29
Harvey Barnes,392
Calvin Bassey,241
Jan Bednarek,455
Jean-Ricner Bellegarde,535
Rodrigo Bentancur,480
Sepp van den Berg,338
Sander Berge,622
Lucas Bergvall,481
Jaden Philogene Bidace,569
Philip Billing,76
Yves Bissouma,482
Lamare Bogarde,598
Willy Boly,425
Jarrod Bowen,514
Conor Bradley,313
Jarrad Branthwaite,219
James Bree,457
Ben Brereton,584
David Brooks,62
Kevin De Bruyne,345
Santiago Bueno,564
Facundo Buonanotte,117
Cameron Burgess,263
Dan Burn,395
Wes Burns,264
Tom Cairney,243
Jens Cajuste,619
Riccardo Calafiori,578
Dominic Calvert-Lewin,220
Matty Cash,32
Timothy Castagne,244
Trevoh Chalobah,159
Conor Chaplin,265
Federico Chiesa,636
Hamza Choudhury,287
Ryan Christie,63
Harry Clarke,266
Jack Clarke,631
Nathaniel Clyne,196
Conor Coady,288
Séamus Coleman,221
Nathan Collins,88
Toby Collyer,613
Levi Colwill,162
Lewis Cook,64
Maxwel Cornet,515
Vladimír Coufal,516
Aaron Cresswell,517
Mikkel Damsgaard,89
Ben Davies,484
Leif Davis,267
Craig Dawson,542
Liam Delap,268
Justin Devenny,645
Kiernan Dewsbury-Hall,166
Amad Diallo,364
Tyler Dibling,608
Lucas Digne,36
Virgil van Dijk,339
Issa Diop,245
Axel Disasi,167
Roman Dixon,627
Matt Doherty,543
Jeremy Doku,346
Nicolás Domínguez,431
Cheick Doucouré,193
Abdoulaye Doucouré,217
Flynn Downes,518
Tommy Doyle,544
Radu Drăgușin,486
Lewis Dunk,120
Jhon Durán,38
Luis Díaz,327
George Edmundson,269
Samuel Edozie,459
Anthony Elanga,432
Harvey Elliott,319
Julio Enciso,121
Christian Eriksen,370
Pervis Estupiñán,122
Jonny Evans,371
Eberechi Eze,199
Łukasz Fabiański,521
Wout Faes,291
Evan Ferguson,123
Bruno Fernandes,366
Enzo Fernández,168
Mark Flekken,91
Phil Foden,348
Wesley Fofana,189
Ryan Fraser,397
Niclas Füllkrug,589
Cody Gakpo,321
Alejandro Garnacho,372
James Garner,223
Morgan Gibbs-White,433
Billy Gilmour,124
Joe Gomez,322
Anthony Gordon,398
Ryan Gravenberch,323
Archie Gray,489
Jack Grealish,349
Jacob Greaves,270
Brajan Gruda,595
Idrissa Gana Gueye,222
Marc Guiu,178
Malo Gusto,171
Marc Guéhi,200
Joško Gvardiol,350
İlkay Gündoğan,625
Erling Haaland,351
Lewis Hall,399
Ali Al Hamadi,260
Marcus Harness,271
Jack Harrison,224
Taylor Harwood-Bellis,461
Kai Havertz,4
Jan Paul van Hecke,144
Hwang Hee-chan,550
Dean Henderson,201
Mads Hermansen,293
Son Heung-min,503
Jack Hinshelwood,126
George Hirst,272
Mason Holgate,225
Callum Hudson-Odoi,434
Will Hughes,203
Dean Huijsen,580
Omari Hutchinson,274
Rasmus Højlund,375
Danny Ings,523
Tim Iroegbunam,226
Andy Irving,576
Alexander Isak,401
Alex Iwobi,247
Nicolas Jackson,180
Reece James,172
Vitaly Janelt,94
Vitezslav Jaros,660
Daniel Jebbison,69
Mathias Jensen,95
Raúl Jiménez,252
Ben Johnson,275
Brennan Johnson,275
Sam Johnstone,204
Curtis Jones,324
James Justin,295
Ferdi Kadioglu,628
Daichi Kamada,205
Boubacar Kamara,42
Michael Keane,228
Caoimhín Kelleher,325
Lloyd Kelly,404
Milos Kerkez,70
Bilal El Khannouss,635
Max Kilman,524
Jakub Kiwior,8
Justin Kluivert,71
Yunus Emre Konak,97
Ibrahima Konaté,326
Mateo Kovačić,354
Caleb Kporha,666
Emil Krafth,405
Victor Bernth Kristiansen,296
Mohammed Kudus,525
Dejan Kulusevski,492
Maxence Lacroix,650
Adam Lallana,463
Tariq Lamptey,131
Jørgen Strand Larsen,566
Roméo Lavia,174
Mario Lemina,557
Bernd Leno,248
Jefferson Lerma,206
Rico Lewis,355
Keane Lewis-Potter,98
Myles Lewis-Skelly,597
Matthijs de Ligt,593
Victor Lindelöf,376
Jesper Lindstrøm,577
Sean Longstaff,410
Saša Lukić,249
Massimo Luongo,277
Ian Maatsen,45
James Maddison,494
Noni Madueke,177
Harry Maguire,377
Kobbie Mainoo,378
Orel Mangala,651
Ryan Manning,467
Gabriel Martinelli,9
Lisandro Martínez,380
Emiliano Martínez,47
Jean-Philippe Mateta,207
Stephy Mavididi,298
Konstantinos Mavropanos,528
Noussair Mazraoui,594
Bryan Mbeumo,99
Kasey McAteer,299
Alex McCarthy,469
John McGinn,48
Dwight McNeil,230
Scott McTominay,381
James Mcatee,357
Ben Mee,100
Mikel Merino,633
Nikola Milenković,573
James Milner,134
Yankuba Minteh,135
Tyrick Mitchell,210
Jakub Moder,137
Mikey Moore,610
Eric da Silva Moreira,428
Sam Morsy,278
Yerson Mosquera,558
Mason Mount,382
Mykhailo Mudryk,179
Arijanet Muric,568
Jacob Murphy,402
Daniel Muñoz,211
Vitaliy Mykolenko,231
Iliman Ndiaye,232
Wilfred Ndidi,300
Kosta Nedeljković,50
Reiss Nelson,10
Eddie Nketiah,11
Christopher Nkunku,181
Matheus Nunes,356
Ethan Nwaneri,12
Christian Nørgaard,101
Jake O'Brien,582
Matt O'Riley,629
Dara O'Shea,630
Wilson Odobert,612
Chiedozie Ogbene,632
Caleb Okoli,301
Amadou Onana,233
André Onana,383
Paul Onuachu,470
Frank Onyeka,102
William Osula,590
Dango Ouattara,74
Cole Palmer,182
Thomas Partey,20
Kalvin Phillips,359
Jordan Pickford,235
Ethan Pinnock,104
Nick Pope,413
Pedro Porro,495
Jarell Quansah,333
Aaron Ramsdale,14
Jacob Ramsey,53
Marcus Rashford,385
Harrison Reed,254
Declan Rice,16
Chris Richards,194
Andrew Robertson,335
Antonee Robinson,255
Guido Rodríguez,588
Morgan Rogers,54
Cristian Romero,498
Emile Smith Rowe,19
Georginio Rutter,618
Bukayo Saka,17
Mohamed Salah,328
William Saliba,18
Jadon Sancho,386
Ibrahim Sangaré,442
Pablo Sarabia,565
Pape Matar Sarr,499
Ismaila Sarr,585
Kevin Schade,106
Jeffrey Schlupp,214
Fabian Schär,415
Alex Scott,77
Matz Sels,443
Antoine Semenyo,78
Marcos Senesi,79
Jahmai Simpson-Pusey,672
Luis Sinisterra,80
Oliver Skipp,501
William Smallbone,471
Adam Smith,81
Carlos Soler,654
Ramón Sosa,620
Boubakary Soumaré,285
Tomáš Souček,530
Djed Spence,504
Jay Stansfield,256
Jason Steele,142
Jack Stephens,472
Raheem Sterling,186
Ross Stewart,473
John Stones,362
Kamaldeen Sulemana,462
Crysencio Summerville,587
Sammie Szmodics,611
Dominik Szoboszlai,336
Robert Sánchez,185
James Tarkowski,236
Marcus Tavernier,83
Jack Taylor,281
Charlie Taylor,475
Kenny Tete,257
Youri Tielemans,57
Jurriën Timber,6
Jean-Clair Todibo,591
Harry Toffolo,444
Sandro Tonali,417
Pau Torres,52
Conor Townsend,583
Adama Traoré,239
Mark Travers,84
Ryan Trevitt,602
Kieran Trippier,418
Leandro Trossard,23
Kostas Tsimikas,337
Axel Tuanzebe,282
Destiny Udogie,505
Lesley Ugochukwu,188
Jamie Vardy,306
Joël Veltman,145
Micky van de Ven,506
Bart Verbruggen,146
Jannik Vestergaard,307
Guglielmo Vicario,508
Kyle Walker,363
Kyle Walker-Peters,476
Christian Walton,283
Aaron Wan-Bissaka,388
James Ward-Prowse,531
Ollie Watkins,58
Adam Webster,147
Danny Welbeck,148
Timo Werner,509
Adam Wharton,216
Mats Wieffer,149
Neco Williams,437
Joe Willock,420
Harry Wilson,259
Harry Winks,309
Yoane Wissa,110
Chris Wood,447
Luke Woolfenden,284
Yehor Yarmoliuk,111
Ryan Yates,449
Ashley Young,238
Illia Zabarnyi,85
Oleksandr Zinchenko,25
Joshua Zirkzee,389
Odsonne Édouard,198
Martin Ødegaard,13
Enes Ünal,65
